MeanInsideTemp,AVGHumidityInside,OutsideTemp,HumidityOutside,temp,rhum,wspd,pres,prcp
22.2125,88.171875,7.965625,64.23125,10,37,7.6,1010,0
19.08965517,77.5862069,7.817241379,63.02068966,12,32,7.6,1010,0
18.49655172,76.73448276,8.406896552,58.33448276,13.4,32,39.6,1007,0
18.43448276,77.03103448,7.15862069,63.49655172,13,33,42.5,1009,0
18.29354839,75.95806452,7.161290323,64.07419355,13,35,29.5,1008,0
18.90909091,80.43333333,6.527272727,67.51515152,12.7,36,39.6,1007.1,0
19.98125,85.253125,8.00625,62.20625,13,35,35.3,1010,0
20.81,88.91666667,9.456666667,56.57333333,13,38,29.5,1010,0
21.03571429,89.55714286,8.2,64.61428571,13,37,28.8,1009.2,0
20.98333333,89.57,7.073333333,70.93666667,10,46,18.4,1012,0
20.90714286,89.81071429,6.939285714,72.52857143,13,35,14.8,1014,0
20.97804878,89.60487805,7.675609756,68.01707317,14.2,35,14.4,1012.1,0
20.80512821,83.93846154,8.379487179,64.62307692,15,31,22.3,1014,0
21.2,76.87428571,8.614285714,66.35428571,13.2,41,38.2,1011.9,0
24.87692308,72.36923077,11.47435897,55.80512821,16.4,30,18,1010.7,0
25.40769231,67.42051282,13.59487179,47.71025641,16,29,38.9,1012,0
25.81282051,61.60769231,15.57435897,36.86923077,15,29,29.5,1013,0
26.81052632,57.96842105,17.3,32.08947368,15.4,28,3.6,1011.3,0
25.13243243,56.3972973,18.56756757,29.67567568,14,33,7.6,1014,0
22.02777778,63.37777778,17.59444444,29.46111111,14,33,7.6,1014,0
21.75428571,59.46857143,16.41428571,29.98857143,12.4,35,3.6,1013.1,0
22.16388889,75.41944444,13.11388889,39.63888889,12,38,7.6,1013.3,0
22.43714286,75.38857143,11.54,45.68,13,33,3.6,1014,0
20.39411765,68.06764706,11.04705882,45.68529412,14.2,30,18,1011.8,0
19.92121212,65.8030303,10.49393939,47.21212121,14,31,33.5,1014,0
19.146875,65.140625,8.44375,56.503125,14,31,35.3,1017,0
18.95806452,64.90967742,8.109677419,57.68064516,14.2,33,18,1010,0
18.96129032,63.8483871,8.648387097,54.36774194,14,36,25.9,1012,0
19.55806452,70.81935484,8.103225806,58.01935484,15,33,14.8,1012,0
20.75625,77.7,8.509375,59.0375,14.5,35,18,1009.1,0
21.365625,79.375,9.4375,56.515625,15,33,11.2,1012,0
21.79333333,81.64,9.17,58.66333333,15,33,11.2,1011,0
22.33448276,82.54827586,11.83448276,49.92413793,14.6,35,18,1009.7,0.2
22.15945946,84.78378378,10.54864865,54.57837838,14,36,29.5,1012,0.2
21.8475,86.88,9.4025,59.815,15,33,18.4,1013,0.6
21.575,87.7375,8.9575,62.615,15.9,32,25.2,1011,0
19.8425,79.8,10.1775,59.3075,16,34,22.3,1014,0
21.0775,74.02,12.7825,48.7775,16,29,18.4,1014,1.1
21.14102564,71.2974359,14.65384615,40.4974359,14.9,34,18,1010.7,0.1
